Initial condition - time 0.0 - no actions  
burn 102 StateAction StateAction [5, 20] [5, 19] 
control 102 StateAction StateAction [5, 19] [6, 21] 
fire 102 StateAction StateAction [5, 19] [6, 19] 
control 102 StateAction StateAction [5, 19] [3, 17] 
control 102 StateAction StateAction [6, 19] [4, 16] 
control 102 StateAction StateAction [5, 19] [7, 20] 
control 102 StateAction StateAction [6, 19] [7, 19] 
control 102 StateAction StateAction [5, 19] [9, 18] 
control 102 StateAction StateAction [6, 19] [4, 21] 
fire 102 StateAction StateAction [6, 19] [6, 20] 
control 102 StateAction StateAction [5, 19] [6, 23] 
control 102 StateAction StateAction [6, 19] [5, 20] 
control 102 StateAction StateAction [6, 20] [6, 22] 
control 102 StateAction StateAction [5, 19] [4, 17] 
control 102 StateAction StateAction [6, 20] [9, 20] 
control 102 StateAction StateAction [6, 20] [6, 24] 
control 102 StateAction StateAction [5, 19] [2, 18] 
control 102 StateAction StateAction [5, 19] [4, 23] 
control 102 StateAction StateAction [6, 20] [2, 19] 
control 102 StateAction StateAction [5, 19] [2, 20] 
control 102 StateAction StateAction [6, 20] [9, 19] 
control 102 StateAction StateAction [5, 19] [8, 21] 
control 102 StateAction StateAction [6, 20] [7, 22] 
control 102 StateAction StateAction [6, 20] [8, 18] 
control 102 StateAction StateAction [5, 19] [3, 20] 
control 102 StateAction StateAction [6, 20] [7, 18] 
control 102 StateAction StateAction [5, 19] [6, 16] 
control 102 StateAction StateAction [6, 20] [5, 18] 
control 102 StateAction StateAction [6, 19] [7, 15] 
control 102 StateAction StateAction [6, 19] [7, 17] 
control 102 StateAction StateAction [5, 19] [1, 20] 
control 102 StateAction StateAction [6, 19] [7, 23] 
control 102 StateAction StateAction [5, 19] [5, 15] 
control 102 StateAction StateAction [6, 19] [6, 17] 
control 102 StateAction StateAction [6, 20] [9, 22] 
control 102 StateAction StateAction [5, 19] [7, 16] 
burn 102 StateAction StateAction [5, 5] [4, 5] 
control 102 StateAction StateAction [6, 19] [3, 18] 
control 102 StateAction StateAction [5, 19] [5, 16] 
control 102 StateAction StateAction [4, 5] [4, 2] 
control 102 StateAction StateAction [4, 5] [6, 8] 
control 102 StateAction StateAction [4, 5] [7, 4] 
burn 102 StateAction StateAction [10, 20] [11, 20] 
control 102 StateAction StateAction [4, 5] [4, 4] 
control 102 StateAction StateAction [6, 20] [10, 21] 
control 102 StateAction StateAction [5, 19] [3, 21] 
control 102 StateAction StateAction [11, 20] [12, 17] 
control 102 StateAction StateAction [4, 5] [4, 10] 
control 102 StateAction StateAction [4, 5] [2, 7] 
control 102 StateAction StateAction [11, 20] [10, 17] 
control 102 StateAction StateAction [6, 19] [10, 20] 
control 102 StateAction StateAction [6, 20] [2, 21] 
control 102 StateAction StateAction [11, 20] [14, 18] 
control 102 StateAction StateAction [6, 20] [4, 22] 
control 102 StateAction StateAction [11, 20] [10, 24] 
control 102 StateAction StateAction [5, 19] [4, 15] 
control 102 StateAction StateAction [6, 20] [8, 17] 
control 102 StateAction StateAction [11, 20] [11, 22] 
control 102 StateAction StateAction [5, 19] [5, 14] 
control 102 StateAction StateAction [11, 20] [10, 22] 
control 102 StateAction StateAction [4, 5] [2, 3] 
control 102 StateAction StateAction [4, 5] [4, 3] 
control 102 StateAction StateAction [11, 20] [11, 16] 
